igralec,polozaj
192638,LB
192638,LWB
192641,CB
192641,CDM
192647,CAM
192647,ST
192658,RB
192658,RM
192663,ST
192665,GK
192667,LB
192667,RB
192667,RM
192678,ST
192679,LB
192679,LM
192722,RM
192722,RW
192722,ST
192774,CB
192778,LM
192778,ST
192789,RB
192816,CB
192816,LB
192841,CAM
192841,CM
192841,LW
192883,CAM
192883,RM
192883,RW
192906,CAM
192906,ST
192922,GK
192930,ST
192955,CM
192984,GK
192985,CAM
192985,CM
192991,ST
193011,CB
193041,GK
193061,LM
193062,LB
193062,LM
193080,GK
193082,RB
193082,RM
193082,RW
193091,CB
193098,LM
193098,RM
193105,GK
193116,CDM
193116,CM
193133,RM
193141,RB
193148,LB
193152,GK
193158,CDM
193158,CM
193165,RB
193165,RM
193171,LB
193182,GK
193186,GK
193198,CB
193198,CDM
193198,CM
193201,CM
193201,LB
193201,LM
193241,GK
193247,GK
193250,LB
193250,LM
193254,RB
193254,RM
193264,LB
193264,RB
193264,RM
193267,CB
193267,RB
193277,GK
193278,CB
193283,CDM
193283,CM
193290,LW
193290,ST
193301,ST
193314,GK
193331,GK
193336,GK
193337,CM
193338,ST
193348,RM
193352,LB
193361,CAM
193361,CM
193408,ST
193422,ST
193425,CAM
193425,CDM
193425,CM
193429,RB
193429,RM
193440,CB
193440,LB
193468,LB
193469,CB
193470,RB
193470,RWB
193474,CDM
193474,CM
193512,GK
193525,RM
193525,RWB
193532,CB
193532,CDM
193549,CB
193561,LB
193561,RB
193584,ST
193601,CB
193683,CDM
193683,CM
193693,CDM
193698,GK
193738,CAM
193738,CM
193747,CM
193747,LM
193747,RM
193794,ST
193844,LM
193844,RM
193847,CB
193847,CDM
193847,CM
193849,CDM
193849,CM
193850,LB
193881,CAM
193881,LW
193884,CDM
193884,CM
193886,CAM
193886,CF
193886,CM
193887,LM
193887,RM
193900,RB
193900,RWB
193983,ST
194015,CB
194017,CAM
194017,CM
194017,ST
194020,CDM
194020,CM
194022,RB
194053,CB
194063,CDM
194063,CM
194079,CAM
194079,RM
194135,LM
194135,LW
194138,ST
194146,CB
194149,CDM
194149,CM
194201,CB
194209,ST
194222,CB
194229,RB
194333,GK
194334,CB
194359,LB
194359,RB
194365,CAM
194365,ST
194404,GK
194644,RB
194644,RWB
194665,CB
194665,CDM
194728,ST
194730,GK
194761,CAM
194761,CM
194761,LM
194765,LW
194765,RW
194765,ST
194781,GK
194794,RM
194794,RW
194806,CB
194845,CAM
194845,ST
194846,LB
194879,ST
194904,GK
194911,GK
194932,RM
194932,ST
194934,GK
194947,CB
194957,CB
194958,CAM
194958,CM
194963,ST
194979,LB
194996,ST
195033,LM
195033,RM
195038,CAM
195038,LM
195038,RM
195087,CB
195087,CDM
195088,CAM
195088,LM
195093,ST
195096,CAM
195096,CM
195202,CAM
195202,CM
195272,RB
195272,RM
195363,CB
195365,CAM
195365,CDM
195365,CM
195412,CAM
195412,CDM
195412,CM
195479,RB
195586,ST
195668,GK
195671,ST
195698,CDM
195698,CM
195859,ST
195864,CDM
195864,CM
196069,RB
196069,RM
196069,RW
196073,ST
196143,RM
196143,RW
196147,CAM
196147,ST
196150,ST
196318,LM
196318,LW
196318,RM
196432,CDM
196432,CM
196801,CB
196889,CAM
196889,CF
196889,LW
196916,CDM
196916,CM
196934,CAM
196934,CDM
196934,CM
196942,CDM
196942,CM
196942,LM
196952,LB
196952,LWB
196978,ST
197031,ST
197061,CB
197083,RB
197083,RM
197083,RWB
197136,ST
197170,LW
197170,LWB
197170,RWB
197225,CAM
197231,ST
197242,CDM
197242,CM
197300,CAM
197300,RM
197402,CDM
197402,CM
197439,GK
197445,CB
197445,LB
197641,GK
197655,CB
197688,LB
197688,LWB
197756,RM
197756,ST
197777,RB
197777,RM
197781,CAM
197781,CM
197781,LW
197786,RB
197786,RWB
197813,CM
197837,CB
197851,GK
197853,RB
197853,RWB
197860,RB
197890,CB
197891,LM
197891,RM
197891,ST
197900,CAM
197900,RM
197900,ST
197937,CB
197948,CB
197965,CM
197965,RM
197971,ST
198006,CAM
198006,CM
198009,GK
198023,CB
198023,RB
198031,CM
198032,CB
198032,LB
198039,GK
198077,RM
198077,RW
198113,CDM
198113,CM
198118,CB
198118,CDM
198118,CM
198128,LM
198128,ST
198129,CDM
198129,CM
198136,LW
198136,RW
198138,CM
198138,RM
198140,ST
198141,CB
198141,CDM
198150,ST
198164,CAM
198176,CB
198177,CB
198190,LB
198200,CB
198200,CDM
198213,ST
198218,CAM
198218,RW
198218,ST
198219,CF
198219,LW
198230,CB
198240,LB
198240,LM
198329,CAM
198329,ST
198331,CAM
198331,CF
198331,ST
198347,ST
198348,CAM
198348,LM
198352,CB
198355,GK
198368,CDM
198368,CM
198420,RW
198420,ST
198429,ST
198451,CAM
198451,CM
198451,LM
198455,RB
198474,CB
198489,LB
198489,LM
198489,LW
198504,RM
198504,ST
198513,GK
198554,ST
198581,CB
198599,LB
198599,RB
198614,CB
198617,CAM
198617,CM
198617,LM
198625,GK
198640,CAM
198640,CF
198640,RW
198653,GK
198657,RB
198658,CDM
198658,CM
198683,ST
198706,CAM
198706,CF
198706,CM
198710,CAM
198710,RW
198715,ST
198717,CF
198717,LM
198719,LM
198783,ST
198784,CM
198817,CDM
198817,CM
198836,CM
198843,LB
198843,LM
198843,RM
198857,CB
198861,CDM
198861,CM
198914,CAM
198914,LM
198914,ST
198946,CB
198946,LB
198946,RB
198949,RB
198949,RM
198950,CAM
198950,RW
198951,ST
198962,GK
198970,CB
198991,RB
199000,CB
199000,CDM
199005,GK
199042,CDM
199042,CM
199060,CB
199060,LB
199069,ST
199103,GK
199110,ST
199131,RB
199131,RWB
199151,RM
199151,ST
199157,LB
199157,LM
199158,CB
199158,CDM
199158,CM
199170,CDM
199170,CM
199183,CAM
199183,CM
199189,CAM
199189,CM
